,5-aminosalicylic acid,5-fluoro-2'-deoxyuridine,5-fluorouracil,6-Mercaptopurine-2′-deoxyriboside,AQ4N,Acecainide,Acenocoumarol,Actinomycin,Adalimumab,Albendazole,Alfacalcidol,Alfuzosin,Altretamine,Alverine citrate salt,Amantadine,"Amethopterin (R,S)",Amiodarone,Amiodarone hydrochloride,Amlodipine,Amoxapine,Anagrelide,Anastrozole,Anethole-trithione,Anthralin,Aprepitant,Ara G hydrate,Aripiprazole,Asenapine maleate,Aspirin,Astemizole,Auranofin,Azacytidine-5,Azaguanine-8,Azathioprine,Azelastine HCl,Benfluorex hydrochloride,Benzbromarone,Benzthiazide,Benzydamine hydrochloride,Bepridil hydrochloride,Beta blockers,Betamethasone acetate,Betamethasone valerate,Betaxolol hydrochloride,Bezafibrate,Bicalutamide,Biperiden,Bisacodyl,Bosentan,Bromocriptine mesylate,Bromperidol,Budesonide,Bufexamac,Bupropion,Butamben,CB1954,CTLA-4 blockade,Camptothecin,Camylofine dihydrochloride,Capecitabine,Carbenoxolone disodium salt,Carbetapentane citrate,Carisoprodol,Carvedilol,Cetirizine,Chlorcyclizine hydrochloride,Chlormezanone,Chlorotrianisene,Chlorpheniramine maleate,Chlorpromazine hydrochloride,Chlorprothixene hydrochloride,Cilnidipine,Cimetidine,Cinnarizine,Cladribine,Clemastine fumarate,Clemizole,Clemizole hydrochloride,Clofarabine,Clofilium tosylate,"Clomiphene citrate (Z,E)",Clomipramine hydrochloride,Clonidine,Clopidogrel sulfate,Cyclobenzaprine hydrochloride,Cyclopenthiazide,Cyclophosphamide,Cyclosporin A,Cyproheptadine hydrochloride,Cyproterone acetate,Cytarabine,Dacarbazine,Danazol,Dantrolene sodium salt,Darifenacin hydrobromide,Dasatinib,Daunorubicin,Daunorubicin hydrochloride,Deflazacort,Demecarium bromide,Deptropine citrate,Dexamethasone,Diacerein,Diacetamate,Diclofenac,Dicyclomine,Dicyclomine hydrochloride,Diethylstilbestrol,Diflorasone diacetate,Digoxin,Diltiazem,Dimethisoquin hydrochloride,Diphenylpyraline,Dipyridamole,Disulfiram,Doxazosin mesylate,Drospirenone,Duloxetine,Ebselen,Eburnamonine (-),Enalapril maleate,Entacapone,Epirizole,Ergonovine maleate,Ergotamine tartrate,Erlotinib,Estradiol Valerate,Estramustine,Estropipate,Eszopiclone,Ethaverine hydrochloride,Ethopropazine,Ethopropazine hydrochloride,Ethoxzolamide,Etodolac,Etofenamate,Etomidate,Etoposide,Etretinate,Ezetimibe,Fadrozole hydrochloride,Famprofazone,Febuxostat,Felodipine,Fenbendazole,Fenbufen,Fendiline hydrochloride,Fenofibrate,Fenspiride,Fentiazac,Fexofenadine HCl,Finasteride,Floxuridine,Fludarabine,Fludarabine de phosphate,Flufenamic acid,Flunarizine dihydrochloride,Flunixin meglumine,Fluorometholone,Fluphenazine,Fluphenazine dihydrochloride,Fluspirilen,Fluvoxamine maleate,Gemcitabine,Glafenine hydrochloride,Gliclazide,Glipizide,Gliquidone,Glycyrrhizic acid,Guanadrel sulfate,Haloperidol,Hexestrol,Hydrocortisone base,Ibutilide fumarate,Idarubicin,Idebenone,Imatinib,Imiquimod,Indomethacin,Infliximab,Iocetamic acid,Iohexol,Iopanoic acid,Irbesartan,Irinotecan,Irsogladine maleate,Ketorolac tromethamine,Lacidipine,Lactulose,Lansoprazole,Leflunomide,Levodopa,Levonorgestrel,Lidoflazine,Linagliptin,Lofexidine,Loperamide hydrochloride,Losartan,Loxapine succinate,Lynestrenol,"Mebhydroline 1,5-naphtalenedisulfonate",Meclofenamic acid sodium salt monohydrate,Meclozine dihydrochloride,Megestrol acetate,Melphalan,Memantine,Menadione,Mesalazine,Mesoridazine besylate,Metaxalone,Metergoline,Metformin,Methantheline bromide,Methiazole,Methiothepin maleate,Methotrexate,Methotrimeprazine maleat salt,Methsuximide,Methylphenidate,Methysergide maleate,Metitepine maleate,Metixene hydrochloride,Metoprolol tartrate,Mevastatin,Mifepristone,Minocycline hydrochloride,Mitomycin C,Mitotane,Mitoxantrone,Mometasone furoate,Montelukast,Moricizine hydrochloride,Mycophenolate mofetil,Nabumetone,Nafronyl oxalate,Naftopidil,Naftopidil dihydrochloride,Naproxen(+),Nateglinide,Nefazodone HCl,Nelarabine,Neostigmine bromide,Nicergoline,Niclosamide,Nicorandil,Nifurtimox,Nilutamide,Nimesulide,Nimodipine,Nitrazepam,Nitrendipine,Nitrobenzodiazepine,Nizatidine,Norcyclobenzaprine,Norgestimate,Olanzapine,Olmesartan medoxomil,Omeprazole,Oorethindrone acetate,Oorgestimate,Ooscapine,Orphenadrine citrate,Oxaprozin,Oxcarbazepine,Oxethazaine,Oxybutynin chloride,Paclitaxel,Paliperidone,Paracetamol,Pemirolast potassium,Penbutolol sulfate,Pentostatin,Perhexiline maleate,Pericyazine,Perphenazine,Phenazopyridine,Phenindione,Phenytoin sodium,Picosulfuric acid,Pidotimod,Pimethixene maleate,Pimozide,Pinaverium bromide,Pioglitazone,Pizotifen malate,Pranlukast,Pranoprofen,Prenylamine lactate,Pridinol methanesulfonate salt,Prilocaine hydrochloride,Procarbazine,Prochlorperazine dimaleate,Promazine hydrochloride,Promethazine hydrochloride,Protriptyline hydrochloride,Pyrvinium pamoate,Quetiapine hemifumarate,Quinapril,R(-) Apomorphine hydrochloride hemihydrate,Rabeprazole Sodium salt,Racecadotril,Racepinephrine HCl,Raloxifene hydrochloride,Ramelteon,Ramipril,Rebamipide,Repaglinide,Riluzole,Riluzole hydrochloride,Risperidone,Rizatriptan benzoate,Rosuvastatin,Roxatidine acetate,Salmeterol,Secoisolariciresinol,Sertindole,Sildenafil citrate,Sotalol,Spiperone,Stanozolol,Streptozotocin,Sulfasalazine,Sulfinpyrazone,Suloctidil,Sulpiride,Sumatriptan succinate,Sunitinib,Tacrolimus,Tadalafil,Tamoxifen,Tamoxifen citrate,Tegafur,Telmisartan,Temozolomide,Tenatoprazole,Terfenadine,Testosterone propionate,Thiethylperazine dimalate,Thioguanosine,Thioridazine hydrochloride,Thiothixene,Thonzonium bromide,Thyroxine (L),"Tiratricol, 3,3',5-triiodothyroacetic acid",Tolazamide,Tolfenamic acid,Toremifene,Trandolapril,Tranilast,Trazodone hydrochloride,Tretazicar,Tribenoside,Trifluoperazine dihydrochloride,Triflupromazine hydrochloride,Trihexyphenidyl,Trimebutine maleate,Trimeprazine tartrate,Trimetazidine dihydrochloride,Troglitazone,Ustekinumab,Valsartan,Vardenafil,Vecuronium bromide,Vedolizumab,Vilazodone,Vinblastine,Vinpocetine,Vitamin D,Zafirlukast,Zaleplon,Zileuton,Ziprasidone  Hydrochloride,Ziprasidone mesylate,Zonisamide,Zotepine,Zuclopenthixol dihydrochloride,Β-Lapachone
Acinetobacter baumannii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acinetobacter haemolyticus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actinomyces coleocanis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adlercreutzia equolifaciens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aeromonas caviae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agrobacterium tumefaciens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Akkermansia muciniphila,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Alistipes indistinctus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Alkaliphilus metalliredigens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alkaliphilus oremlandii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
